frame,track_id,x1,y1,x2,y2,conf,finger
176,21,564,2083,664,2175,0.39,Thumb
177,21,569,2088,670,2181,0.44,Thumb
178,21,569,2085,664,2171,0.48,Thumb
178,30,749,1778,838,1855,0.48,Thumb
179,21,572,2089,664,2170,0.59,Thumb
179,30,751,1776,841,1854,0.59,Thumb
180,21,575,2093,666,2170,0.65,Thumb
180,30,753,1774,845,1854,0.65,Thumb
181,21,579,2096,669,2171,0.51,Thumb
181,30,755,1772,848,1853,0.51,Thumb
182,21,580,2092,675,2171,0.48,Thumb
182,30,757,1770,851,1852,0.48,Thumb
183,21,583,2095,675,2170,0.63,Thumb
183,30,759,1769,854,1851,0.63,Thumb
184,21,587,2098,678,2172,0.63,Thumb
184,30,761,1767,857,1850,0.63,Thumb
185,21,591,2101,681,2175,0.63,Thumb
185,30,763,1765,860,1850,0.63,Thumb
186,21,595,2104,683,2177,0.39,Thumb
186,30,765,1763,864,1849,0.39,Thumb
187,21,599,2107,686,2179,0.41,Thumb
187,30,767,1762,867,1848,0.41,Thumb
188,21,603,2111,689,2181,0.41,Thumb
188,30,769,1760,870,1847,0.41,Thumb
189,21,607,2114,692,2183,0.31,Thumb
190,21,612,2117,695,2185,0.31,Thumb
191,21,616,2120,698,2188,0.31,Thumb
192,21,618,2080,722,2165,0.34,Thumb
193,21,620,2077,726,2165,0.45,Thumb
194,21,624,2076,731,2165,0.45,Thumb
195,21,628,2076,735,2165,0.45,Thumb
196,21,632,2075,740,2165,0.45,Thumb
197,21,636,2075,745,2166,0.45,Thumb
198,21,647,2066,742,2144,0.44,Thumb
199,21,651,2065,746,2142,0.34,Thumb
200,21,655,2064,750,2140,0.34,Thumb
201,21,659,2063,754,2139,0.34,Thumb
202,21,675,2063,767,2135,0.33,Thumb
203,21,681,2062,772,2133,0.33,Thumb
204,21,687,2061,777,2131,0.33,Thumb
205,21,693,2060,782,2129,0.33,Thumb
206,21,699,2059,787,2128,0.34,Thumb
207,21,704,2058,791,2126,0.34,Thumb
208,21,710,2057,796,2124,0.34,Thumb
209,21,716,2056,801,2122,0.34,Thumb
210,21,722,2056,806,2120,0.34,Thumb
211,21,728,2055,810,2118,0.34,Thumb
212,21,734,2054,815,2117,0.34,Thumb
246,38,724,2077,830,2149,0.35,Unknown
247,38,721,2073,828,2146,0.35,Thumb
248,38,717,2070,823,2143,0.35,Thumb
248,39,864,1801,921,1866,0.35,Thumb
249,38,712,2065,822,2141,0.33,Unknown
249,39,862,1793,926,1866,0.33,Unknown
250,38,707,2055,827,2139,0.39,Thumb
250,39,859,1787,927,1866,0.39,Thumb
251,38,703,2050,827,2137,0.36,Unknown
251,39,863,1790,924,1861,0.36,Unknown
252,38,699,2046,826,2135,0.36,Unknown
252,39,861,1787,925,1860,0.36,Unknown
253,38,695,2042,826,2133,0.36,Unknown
253,39,859,1783,926,1860,0.36,Unknown
254,38,691,2037,825,2131,0.36,Unknown
254,39,857,1779,926,1859,0.36,Unknown
255,38,687,2033,825,2129,0.34,Unknown
255,39,855,1776,927,1858,0.34,Unknown
256,38,683,2028,824,2127,0.33,Unknown
256,39,853,1772,928,1857,0.33,Unknown
257,38,680,2024,824,2125,0.46,Unknown
257,39,851,1768,928,1857,0.46,Unknown
257,40,703,2025,785,2106,0.46,Unknown
258,38,676,2019,823,2123,0.62,Unknown
258,39,849,1765,929,1856,0.62,Unknown
258,40,699,2017,787,2104,0.62,Unknown
259,38,672,2015,823,2121,0.64,Unknown
259,39,847,1761,929,1855,0.64,Unknown
259,40,696,2013,786,2101,0.64,Unknown
260,38,668,2011,822,2119,0.32,Unknown
260,39,880,1777,926,1829,0.32,Unknown
260,40,696,2009,780,2091,0.32,Unknown
261,39,883,1772,933,1829,0.39,Thumb
261,40,691,2004,774,2085,0.39,Thumb
262,39,884,1769,934,1827,0.39,Thumb
262,40,689,1999,771,2080,0.39,Thumb
263,39,885,1767,935,1824,0.35,Thumb
263,40,687,1995,769,2076,0.35,Thumb
264,39,886,1764,937,1822,0.37,Thumb
264,40,685,1990,767,2071,0.37,Thumb
265,39,887,1762,938,1820,0.35,Thumb
265,40,676,1999,759,2081,0.35,Thumb
265,43,887,1798,940,1841,0.35,Thumb
266,39,888,1759,939,1817,0.40,Thumb
266,40,666,1985,761,2080,0.40,Thumb
266,43,887,1800,937,1842,0.40,Thumb
267,39,889,1757,940,1815,0.40,Thumb
267,40,662,1981,759,2077,0.40,Thumb
267,43,886,1803,935,1843,0.40,Thumb
268,39,890,1755,941,1813,0.47,Thumb
268,40,655,1973,756,2077,0.47,Thumb
268,43,886,1805,933,1844,0.47,Thumb
269,39,891,1752,942,1810,0.48,Thumb
269,40,652,1974,748,2075,0.48,Thumb
269,43,885,1807,931,1845,0.48,Thumb
270,39,892,1750,944,1808,0.48,Thumb
270,40,648,1969,746,2072,0.48,Thumb
270,43,885,1810,929,1846,0.48,Thumb
